,name,confirmAdd,confirm,heal,dead
198,塞拉利昂,0,7722,0,125
199,利比里亚,0,7504,5747,294
200,乍得,0,7427,4874,193
201,英属维尔京群岛,0,7131,0,63
202,圣文森特和格林纳丁斯,0,7040,6641,115
203,瑙鲁,0,6960,3391,1
204,圣基茨和尼维斯,10,6377,6228,45
205,特克斯和凯科斯群岛,0,6255,6144,36
206,圣多美和普林西比民主共和国,0,6079,5990,74
207,库克群岛,0,5831,5807,1
208,帕劳,0,5308,5166,6
209,圣巴特岛（法属）,0,4845,0,6
210,安圭拉（英）,0,3496,3464,9
211,基里巴斯,0,3236,2665,13
212,圣皮埃尔岛和密克隆岛（法）,0,2970,2449,1
213,马尔维纳斯群岛,0,1831,0,0
214,蒙特塞拉特,0,1025,1015,8
215,钻石号邮轮,0,712,699,13
216,瓦利斯和富图纳群岛（法）,0,456,438,7
217,马绍尔群岛,0,49,18,0
218,密克罗尼西亚,0,38,33,0
219,纽埃,0,29,23,0
220,梵蒂冈城,0,29,29,0
221,西撒哈拉,0,10,9,1
222,尚丹号,0,9,7,2
223,图瓦卢,0,3,0,0
224,圣赫勒拿岛,0,2,2,0
225,中国,25120,4839118,300729,22844
