,province,province_total_confirm
0,台湾,4240466
1,香港,345379
25,湖北,68405
6,上海,63478
8,吉林,40293
3,广东,7804
21,北京,3715
9,福建,3584
23,陕西,3364
19,河南,3203
16,浙江,3189
29,黑龙江,2990
15,山东,2813
12,四川,2426
13,江苏,2314
20,云南,2192
11,内蒙古,2155
5,天津,2052
31,河北,2007
22,辽宁,1730
10,广西,1717
7,安徽,1470
17,江西,1415
24,湖南,1408
33,新疆,1008
4,甘肃,851
18,重庆,763
2,澳门,727
26,山西,427
14,海南,326
27,贵州,186
28,青海,148
32,宁夏,122
30,西藏,1
