,province,city,total,today
51,天津,津南区,"{'nowConfirm': 3, 'confirm': 367, 'heal': 364, 'showHeal': True, 'continueDayZeroLocalConfirm': 0, 'dead': 0, 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0, 'grade': '点击查看详情', 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 11:33:32', 'showRate': False, 'wzz': 0, 'adcode': '120112'}","{'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0}"
52,天津,红桥区,"{'wzz': 0, 'mediumRiskAreaNum': 0, 'adcode': '120106', 'dead': 0, 'showHeal': True, 'nowConfirm': 2, 'grade': '点击查看详情', 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'continueDayZeroLocalConfirm': 0, 'mtime': '2022-07-17 11:33:31', 'confirm': 38, 'heal': 36, 'showRate': False, 'provinceLocalConfirm': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
53,天津,河东区,"{'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirm': 0, 'adcode': '120102', 'nowConfirm': 2, 'grade': '点击查看详情', 'mtime': '2022-07-17 11:33:30', 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0, 'dead': 1, 'continueDayZeroLocalConfirmAdd': 16, 'heal': 33, 'showHeal': True, 'wzz': 0, 'confirm': 36, 'showRate': False}","{'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0}"
54,天津,滨海新区,"{'showRate': False, 'adcode': '120116', 'showHeal': True, 'wzz': 0, 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0, 'nowConfirm': 2, 'grade': '点击查看详情', 'continueDayZeroLocalConfirm': 0, 'confirm': 88, 'dead': 0, 'heal': 86, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 11:33:31'}","{'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0}"
55,天津,蓟州区,"{'dead': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'nowConfirm': 0, 'heal': 0, 'highRiskAreaNum': 0, 'mtime': '2022-07-17 11:35:34', 'adcode': '120119', 'provinceLocalConfirm': 0, 'confirm': 0, 'showRate': False, 'showHeal': True, 'wzz': 0, 'continueDayZeroLocalConfirm': 16}","{'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0'}"
56,天津,外地来津,"{'confirm': 8, 'heal': 8, 'showHeal': True, 'continueDayZeroLocalConfirmAdd': 16, 'continueDayZeroLocalConfirm': 16, 'wzz': 0, 'mtime': '2022-07-17 11:32:21', 'adcode': '', 'mediumRiskAreaNum': 0, 'nowConfirm': 0, 'dead': 0, 'showRate': False, 'provinceLocalConfirm': 0, 'highRiskAreaNum': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '', 'local_confirm_add': 0}"
57,天津,宁河区,"{'showRate': False, 'highRiskAreaNum': 0, 'showHeal': True, 'grade': '点击查看详情', 'wzz': 0, 'dead': 0, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 11:35:35', 'adcode': '120117', 'nowConfirm': 0, 'confirm': 6, 'heal': 6, 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 16}","{'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0}"
58,天津,静海区,"{'heal': 11, 'mtime': '2022-07-17 11:35:33', 'nowConfirm': 0, 'dead': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'continueDayZeroLocalConfirm': 16, 'adcode': '120118', 'showHeal': True, 'grade': '点击查看详情', 'provinceLocalConfirm': 0, 'confirm': 11, 'showRate': False, 'wzz': 0, 'highRiskAreaNum': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
59,天津,宝坻区,"{'wzz': 0, 'continueDayZeroLocalConfirm': 16, 'grade': '点击查看详情', 'highRiskAreaNum': 0, 'mtime': '2022-07-17 11:35:35', 'adcode': '120115', 'confirm': 66, 'mediumRiskAreaNum': 0, 'nowConfirm': 0, 'dead': 2, 'showRate': False, 'heal': 64, 'showHeal': True, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirmAdd': 16}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
60,天津,武清区,"{'showHeal': True, 'grade': '点击查看详情', 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 16, 'confirm': 151, 'dead': 0, 'heal': 151, 'highRiskAreaNum': 0, 'showRate': False, 'wzz': 0, 'continueDayZeroLocalConfirmAdd': 16, 'nowConfirm': 0, 'provinceLocalConfirm': 0, 'mtime': '2022-07-17 11:35:33', 'adcode': '120114'}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
61,上海,黄浦,"{'grade': '点击查看详情', 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0, 'adcode': '310101', 'nowConfirm': 1400, 'showRate': False, 'showHeal': True, 'provinceLocalConfirm': 0, 'confirm': 6618, 'dead': 0, 'heal': 5218, 'wzz': 0, 'continueDayZeroLocalConfirm': 0, 'mtime': '2022-07-17 11:36:01', 'continueDayZeroLocalConfirmAdd': 8}","{'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0, 'isUpdated': False}"
62,上海,浦东,"{'showHeal': True, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 0, 'mtime': '2022-07-17 08:43:16', 'grade': '点击查看详情', 'wzz': 0, 'highRiskAreaNum': 0, 'nowConfirm': 1250, 'confirm': 17153, 'dead': 1, 'showRate': False, 'continueDayZeroLocalConfirmAdd': 1, 'adcode': '310115', 'heal': 15902, 'provinceLocalConfirm': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '3', 'local_confirm_add': 0}"
63,上海,杨浦,"{'showHeal': True, 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 0, 'mtime': '2022-07-18 07:58:18', 'nowConfirm': 1203, 'showRate': False, 'grade': '点击查看详情', 'adcode': '310110', 'confirm': 2397, 'dead': 0, 'heal': 1194, 'wzz': 0, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirmAdd': 2}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '1', 'local_confirm_add': 0}"
64,上海,徐汇,"{'dead': 1, 'heal': 3516, 'grade': '点击查看详情', 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 2, 'showRate': False, 'showHeal': True, 'mtime': '2022-07-17 11:32:06', 'adcode': '310104', 'nowConfirm': 1185, 'confirm': 4702, 'wzz': 0, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
